lead_id,store_name,lead_channel_label,google_maps_category,instagram_handle,followers,items_listed,sell_through_rate,website,email,phone,owner_name,address,city,neighbourhood,country,lat,lng,est_monthly_spend_gbp,lead_source,last_contact_date,last_purchase_date,stage_raw,stage_clean,pipeline_status,notes,source_lead_ids,n_records_merged,store_type,store_type_confidence,_confirmed_non_uk,_unverified_location,store_category,qualifies,qualification_reason,contactability_score,data_quality_flag,ELIGIBLE,OUTREACH_TYPE,RECOMMENDED_FOLLOW_UP_DATE,SUGGESTED_MESSAGE,MESSAGE_LOGIC,PERSONALISATION_ANGLE
L1172,eragoods99,depop,unknown,@eragoods99,61247.0,958.0,0.43,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,2286,Depop scrape,never,never,new - inbound,Inbound,Prospect,unknown,L1172,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Depop scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Inbound,,"Hi there, thanks for getting in touch - I had a look at selling through Depop before writing back. Fleek connects shops like yours with inventory from trusted suppliers, so given your Depop shop, it seemed worth a proper reply rather than a generic one. What's the main gap in sourcing right now - more volume, more variety, or something specific you're struggling to find?",Stage identified as Inbound (Inbound). Personalisation drawn from channel (notes unavailable): selling through Depop. No prior contact on record - treated as first outreach.,selling through Depop
L1161,sourcedera14,depop,unknown,@sourcedera14,57076.0,316.0,0.39,unknown,sourcedera14@gmail.com,unknown,unknown,unknown,unknown,unknown,unknown,,,1883,Depop scrape,never,never,new - inbound,Inbound,Prospect,unknown,L1161,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Depop scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,3,Missing Website; Unverified Location,True,Inbound,,"Hi there, thanks for getting in touch - I had a look at selling through Depop before writing back. Fleek connects shops like yours with inventory from trusted suppliers, so given your Depop shop, it seemed worth a proper reply rather than a generic one. What's the main gap in sourcing right now - more volume, more variety, or something specific you're struggling to find?",Stage identified as Inbound (Inbound). Personalisation drawn from channel (notes unavailable): selling through Depop. No prior contact on record - treated as first outreach.,selling through Depop
L1130,Curated Vault,physical,Used clothing store,@curatedvault,29631.0,,,https://curatedvault.shop,info@curatedvault.com,+33628772175,unknown,62 The Parade,Los Angeles,"Melrose, Los Angeles",USA,34.09508,-118.37179,5504,Market visit,2026-04-14,never,contacted,Contacted,Contacted,"Curated vintage womenswear, Levi's & band tees |",L1130,1,Physical Store,High,True,False,Second-Hand Store,True,Category 'Used clothing store' is a specific vintage/resale-clothing category - qualifies.,5,Non-UK,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given your curated womenswear built around Levi's and band tees. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Contacted (Re-Engagement). Personalisation drawn from notes: your curated womenswear built around Levi's and band tees. Last contacted 93 day(s) ago - timing supports a follow-up now.,your curated womenswear built around Levi's and band tees
L1146,archivepicks77,depop,unknown,@archivepicks77,32948.0,1202.0,0.4,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,2637,Depop scrape,never,never,new - inbound,Inbound,Prospect,"IG shop, DMs open",L1146,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Depop scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Inbound,,"Hi there, thanks for getting in touch - I had a look at running your shop straight through Instagram DMs before writing back. Fleek connects shops like yours with inventory from trusted suppliers, so given the DM-led way you run sales, it seemed worth a proper reply rather than a generic one. What's the main gap in sourcing right now - more volume, more variety, or something specific you're struggling to find?",Stage identified as Inbound (Inbound). Personalisation drawn from notes: running your shop straight through Instagram DMs. No prior contact on record - treated as first outreach.,running your shop straight through Instagram DMs
L1085,Golden Era Closet,store,Used clothing store,@goldeneracloset,12722.0,,,https://goldeneracloset.com,info@goldeneraclose.com,+447939828073,unknown,113 Mill Lane,Bristol,"Stokes Croft, Bristol",UK,51.47295,-2.60034,1419,Market visit,2026-05-27,never,CONTACTED,Contacted,Contacted,"Vintage workwear, military surplus, carhartt",L1085,1,Physical Store,High,False,False,Second-Hand Store,True,Category 'Used clothing store' is a specific vintage/resale-clothing category - qualifies.,5,None,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given your workwear and military surplus range, including Carhartt. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?","Stage identified as Contacted (Re-Engagement). Personalisation drawn from notes: your workwear and military surplus range, including Carhartt. Last contacted 50 day(s) ago - timing supports a follow-up now.","your workwear and military surplus range, including Carhartt"
L1121,Dusty Depot,physical,Vintage boutique,@dustydepot,14115.0,,,unknown,info@dustydepot.com,+33699353875,unknown,130 Mill Lane,New York,"Williamsburg, New York",USA,40.72329,-73.95182,5106,BDR,2026-06-04,never,meeting set,Meeting Booked,Opportunity,80s/90s denim & sportswear specialist,"L1200, L1121",2,Physical Store,High,True,False,Vintage Store,True,Category 'Vintage boutique' is a specific vintage/resale-clothing category - qualifies.,4,Missing Website; Non-UK,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given your 80s/90s denim and sportswear edit. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Meeting Booked (Re-Engagement). Personalisation drawn from notes: your 80s/90s denim and sportswear edit. Last contacted 42 day(s) ago - timing supports a follow-up now.,your 80s/90s denim and sportswear edit
L1026,Curated Apparel,shop,Vintage & retro fashion,@curatedapparel,24651.0,,,https://curatedapparel.co.uk,info@curatedapparel.com,+447123281206,Sam Dubois,121 Mill Lane,London,"Camden, London",UK,51.52778,-0.14769,5126,Google Maps scrape,2026-06-19,never,1st touch sent,Contacted,Contacted,"Hand-picked vintage from the 60s to the 90s | Left a voicemail, no callback yet.",L1026,1,Physical Store,High,False,False,Vintage Store,True,Category 'Vintage & retro fashion' is a specific vintage/resale-clothing category - qualifies.,5,None,True,Cold,,"Hi Sam, I came across your shop and noticed your hand-picked edit spanning the 60s through the 90s. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. No worries on the missed callback - happy to try again whenever suits. Would it be useful to see what's currently available that fits what you stock?","Stage identified as Contacted (Cold). Personalisation drawn from notes: your hand-picked edit spanning the 60s through the 90s. Notes flagged a specific objection/context, addressed directly rather than ignored. Last contacted 27 day(s) ago - timing supports a follow-up now.",your hand-picked edit spanning the 60s through the 90s
L1186,retrofinds66,unknown,unknown,@retrofinds66,17193.0,936.0,0.29,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,2352,Instagram,2026-04-20,2026-01-02,stopped buying,Stopped Buying,Churned,"Fast seller, good margins",L1186,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Instagram) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Churned-Win-Back,,"Hi there, it's been a while since we last worked together, so wanted to reach out honestly rather than pretend nothing's changed. Given the fast sell-through you've been getting, I understand if the timing wasn't right before. Would it be worth a low-pressure conversation about what's changed on our side, in case it's relevant again?",Stage identified as Stopped Buying (Churned-Win-Back). Personalisation drawn from notes: how quickly your stock turns over. Last contacted 87 day(s) ago - timing supports a follow-up now.,how quickly your stock turns over
L1190,archivefinds16,unknown,unknown,@archivefinds16,63583.0,116.0,0.59,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,2046,Whatnot,2026-05-01,2025-09-28,dormant,Dormant,Churned,"Fast seller, good margins",L1190,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Whatnot) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Churned-Win-Back,,"Hi there, it's been a while since we last worked together, so wanted to reach out honestly rather than pretend nothing's changed. Given the fast sell-through you've been getting, I understand if the timing wasn't right before. Would it be worth a low-pressure conversation about what's changed on our side, in case it's relevant again?",Stage identified as Dormant (Churned-Win-Back). Personalisation drawn from notes: how quickly your stock turns over. Last contacted 76 day(s) ago - timing supports a follow-up now.,how quickly your stock turns over
L1177,deadera16,depop,unknown,@deadera16,27594.0,771.0,0.11,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,2136,Instagram,2026-05-30,never,1st touch sent,Contacted,Contacted,unknown,L1177,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Instagram) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given running sales through Instagram. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Contacted (Re-Engagement). Personalisation drawn from channel (notes unavailable): running sales through Instagram. Last contacted 47 day(s) ago - timing supports a follow-up now.,running sales through Instagram
